Eval_GEN    Opp_GEN      Fit_Diff
1            0            1.41
2            0            1.38
3            0            1.42
4            0            1.84
5            0            2.03
6            0            2.44
7            0            2.09
8            0            2.45
9            0            2.05
10            0            1.85
11            0            2.36
12            0            2.7
13            0            1.83
14            0            2.07
15            0            2.43
16            0            2.16
17            0            1.91
18            0            1.74
19            0            2.19
20            0            2.46
21            0            2.49
22            0            2.68
23            0            2.22
24            0            2.45
25            0            2.28
26            0            2.95
27            0            2.93
28            0            2.45
29            0            3.07
30            0            2.59
31            0            2.17
32            0            2.54
33            0            1.88
34            0            2.36
35            0            2.25
36            0            1.95
37            0            1.6
38            0            2.32
39            0            1.88
40            0            2.36
41            0            1.97
42            0            2.36
43            0            2.28
44            0            2.5
45            0            2.41
46            0            2.65
47            0            1.76
48            0            2.03
49            0            2.21
50            0            1.58
51            0            1.91
52            0            2.07
53            0            3.03
54            0            2.56
55            0            2.58
56            0            2.37
57            0            2.78
58            0            2.26
59            0            1.76
60            0            2.56
61            0            2.22
62            0            1.27
63            0            1.88
64            0            2.07
65            0            1.96
66            0            2.33
67            0            2.0
68            0            2.19
69            0            2.01
70            0            2.7
71            0            2.24
72            0            2.51
73            0            2.46
74            0            2.31
75            0            2.34
76            0            2.42
77            0            1.82
78            0            1.93
79            0            2.79
80            0            2.56
81            0            1.89
82            0            1.69
83            0            2.21
84            0            1.78
85            0            1.95
86            0            2.78
87            0            2.84
88            0            2.43
89            0            1.29
90            0            1.71
91            0            1.62
92            0            1.8
93            0            2.55
94            0            1.8
95            0            2.45
96            0            3.04
97            0            3.04
98            0            2.59
99            0            3.13
100            0            2.97
