Eval_GEN    Opp_GEN      Fit_Dif
1            0            0.49
2            0            0.47
3            0            0.87
4            0            0.76
5            0            0.67
6            0            0.89
7            0            0.8
8            0            0.92
9            0            0.85
10            0            1.19
11            0            0.94
12            0            0.92
13            0            0.84
14            0            0.83
15            0            1.12
16            0            0.97
17            0            1.06
18            0            1.23
19            0            1.21
20            0            1.07
21            0            0.93
22            0            0.99
23            0            0.8
24            0            0.98
25            0            0.89
26            0            0.85
27            0            0.98
28            0            0.94
29            0            0.93
30            0            0.96
31            0            1.16
32            0            1.05
33            0            0.86
34            0            0.93
35            0            1.06
36            0            0.9
37            0            0.84
38            0            1.03
39            0            1.09
40            0            0.88
41            0            0.75
42            0            0.84
43            0            1.07
44            0            1.05
45            0            1.02
46            0            1.0
47            0            0.93
48            0            1.07
49            0            1.11
50            0            0.78
51            0            0.81
52            0            0.9
53            0            1.12
54            0            0.93
55            0            1.04
56            0            0.99
57            0            0.98
58            0            0.83
59            0            0.99
60            0            0.99
61            0            0.86
62            0            0.95
63            0            1.0
64            0            0.98
65            0            0.92
66            0            1.15
67            0            1.16
68            0            1.16
69            0            1.01
70            0            1.01
71            0            0.76
72            0            0.87
73            0            1.08
74            0            1.03
75            0            1.05
76            0            0.88
77            0            0.91
78            0            0.97
79            0            1.09
80            0            0.99
81            0            0.89
82            0            0.99
83            0            1.1
84            0            0.92
85            0            1.05
86            0            1.12
87            0            0.96
88            0            0.99
89            0            1.01
90            0            0.9
91            0            1.08
92            0            0.99
93            0            0.97
94            0            0.83
95            0            0.81
96            0            0.94
97            0            0.95
98            0            0.85
99            0            1.07
100            0            1.12
