GEN         FIT      STD_DEV     MIN     MAX
0        -3.03        1.77        -5.31        0.14
1        -1.44        2.38        -7.33        1.04
2        -1.63        2.18        -7.06        0.42
3        -0.99        1.51        -3.9        0.45
4        0.04        0.42        -0.69        0.45
5        0.2        0.28        -0.44        0.51
6        0.3        0.19        0.01        0.51
7        0.38        0.16        0.15        0.69
8        0.4        0.29        -0.15        0.78
9        0.39        0.35        -0.28        0.96
10        0.44        0.33        -0.08        0.78
11        0.43        0.17        0.22        0.65
12        0.28        0.15        -0.07        0.44
13        0.02        0.4        -0.94        0.41
14        0.38        0.19        0.07        0.65
15        0.18        0.18        -0.05        0.44
16        0.31        0.19        0.07        0.62
17        -0.16        0.65        -1.63        0.59
18        -0.03        0.44        -1.12        0.39
19        0.23        0.19        -0.12        0.48
20        0.31        0.14        0.12        0.52
21        -0.16        0.56        -1.14        0.37
22        -0.12        0.33        -0.95        0.15
23        0.26        0.12        0.1        0.47
24        0.0        0.5        -1.23        0.5
25        -0.89        0.97        -2.58        -0.17
26        0.21        0.23        -0.23        0.54
27        0.15        0.24        -0.15        0.6
28        -0.11        0.59        -1.58        0.42
29        0.2        0.18        -0.09        0.47
30        0.36        0.2        0.09        0.76
31        0.21        0.47        -0.92        0.66
32        0.01        0.41        -1.01        0.41
33        0.31        0.31        -0.04        0.83
34        0.32        0.24        -0.12        0.71
35        -0.01        0.52        -1.35        0.33
36        -0.16        1.1        -3.05        0.56
37        0.17        0.24        -0.32        0.44
38        0.21        0.3        -0.26        0.71
39        0.34        0.17        0.01        0.62
40        0.58        0.19        0.26        0.87
41        0.49        0.21        0.23        0.97
42        0.47        0.12        0.24        0.68
43        0.41        0.15        0.18        0.67
44        0.46        0.14        0.23        0.65
45        0.54        0.08        0.44        0.64
46        0.57        0.23        0.24        0.9
47        0.54        0.16        0.27        0.74
48        -0.23        1.02        -2.86        0.4
49        -0.2        0.79        -2.24        0.37
50        0.36        0.18        -0.0        0.52
51        -0.04        0.3        -0.51        0.28
52        0.33        0.31        -0.37        0.69
53        0.51        0.16        0.32        0.78
54        0.2        0.38        -0.76        0.62
55        0.42        0.08        0.29        0.53
56        0.43        0.18        0.15        0.82
57        0.19        0.21        -0.24        0.5
58        -0.0        0.87        -2.23        0.73
59        0.64        0.3        -0.07        1.0
60        0.38        0.32        -0.42        0.67
61        0.48        0.21        0.16        0.76
62        0.31        0.31        -0.36        0.8
63        0.16        0.19        -0.18        0.37
64        -0.25        0.45        -1.36        0.12
65        -0.52        0.85        -2.7        0.21
66        0.28        0.17        0.06        0.57
67        0.27        0.19        -0.14        0.51
68        0.31        0.15        -0.06        0.44
69        0.24        0.3        -0.3        0.71
70        0.33        0.12        0.13        0.49
71        -0.54        0.74        -2.31        0.12
72        -0.06        0.31        -0.7        0.41
73        0.03        0.25        -0.42        0.45
74        -0.3        0.41        -1.32        0.13
75        0.17        0.17        -0.17        0.46
76        0.29        0.16        0.05        0.52
77        -0.06        0.38        -1.01        0.4
78        -0.21        0.26        -0.61        0.23
79        0.2        0.27        -0.11        0.74
80        0.19        0.23        -0.25        0.58
81        0.21        0.24        -0.38        0.45
82        0.35        0.32        -0.42        0.65
83        0.38        0.39        -0.53        0.72
84        0.43        0.06        0.32        0.49
85        0.26        0.2        -0.21        0.49
86        0.43        0.18        0.13        0.62
87        0.46        0.18        0.25        0.81
88        0.31        0.16        0.11        0.59
89        0.32        0.12        0.08        0.5
90        0.46        0.15        0.19        0.7
91        0.27        0.48        -0.75        0.76
92        0.21        0.29        -0.19        0.7
93        -0.31        0.6        -1.57        0.55
94        0.17        0.29        -0.35        0.51
95        -0.66        0.71        -2.03        0.16
96        0.51        0.17        0.26        0.78
97        0.2        0.34        -0.43        0.59
98        0.28        0.42        -0.65        0.73
99        0.48        0.22        0.04        0.7
100        0.39        0.29        -0.35        0.67
