GEN         FIT      STD_DEV     MIN     MAX
0        -1.36        1.22        -3.3        0.15
1        -0.46        0.56        -1.38        0.36
2        -0.7        0.73        -2.0        0.23
3        0.07        0.46        -0.8        0.69
4        0.4        0.21        0.14        0.73
5        0.44        0.24        0.03        0.84
6        0.26        0.38        -0.71        0.56
7        0.3        0.09        0.12        0.43
8        0.4        0.12        0.24        0.57
9        0.34        0.23        -0.04        0.63
10        -0.05        0.1        -0.21        0.11
11        0.06        0.13        -0.07        0.32
12        0.47        0.2        0.07        0.79
13        -0.23        0.15        -0.47        0.01
14        0.02        0.3        -0.74        0.23
15        0.08        0.14        -0.11        0.26
16        -0.03        0.17        -0.31        0.26
17        0.04        0.22        -0.35        0.29
18        -0.04        0.23        -0.47        0.36
19        0.26        0.18        -0.06        0.48
20        0.09        0.11        -0.06        0.27
21        0.13        0.12        -0.03        0.38
22        0.16        0.25        -0.37        0.43
23        0.17        0.16        -0.14        0.33
24        0.06        0.24        -0.42        0.33
25        0.16        0.15        -0.13        0.37
26        0.4        0.18        0.17        0.76
27        0.32        0.18        0.15        0.68
28        0.17        0.07        0.08        0.33
29        0.25        0.19        -0.04        0.57
30        0.12        0.18        -0.26        0.36
31        0.07        0.2        -0.26        0.33
32        0.09        0.14        -0.12        0.4
33        0.11        0.21        -0.2        0.41
34        0.14        0.15        -0.12        0.36
35        0.11        0.18        -0.11        0.47
36        -0.06        0.2        -0.46        0.22
37        0.07        0.23        -0.43        0.38
38        0.01        0.18        -0.37        0.18
39        0.18        0.21        -0.1        0.49
40        0.12        0.13        -0.05        0.3
41        0.04        0.13        -0.16        0.28
42        0.01        0.21        -0.36        0.25
43        0.16        0.19        -0.16        0.49
44        0.07        0.13        -0.06        0.36
45        0.05        0.18        -0.16        0.31
46        0.22        0.21        -0.05        0.69
47        0.12        0.21        -0.3        0.38
48        0.04        0.18        -0.31        0.31
49        -0.01        0.15        -0.26        0.23
50        -0.24        0.12        -0.41        -0.06
51        -0.06        0.22        -0.52        0.24
52        -0.09        0.2        -0.41        0.18
53        0.19        0.21        -0.1        0.59
54        0.01        0.1        -0.15        0.16
55        0.2        0.18        -0.08        0.47
56        0.03        0.13        -0.14        0.32
57        0.12        0.2        -0.2        0.46
58        0.1        0.22        -0.31        0.45
59        -0.11        0.16        -0.41        0.07
60        0.19        0.25        -0.26        0.66
61        -0.22        0.15        -0.39        0.05
62        -0.25        0.18        -0.51        0.14
63        -0.0        0.15        -0.2        0.33
64        0.21        0.18        -0.05        0.52
65        0.1        0.23        -0.35        0.55
66        0.23        0.12        0.02        0.43
67        -0.02        0.08        -0.19        0.09
68        -0.06        0.11        -0.22        0.07
69        -0.05        0.28        -0.63        0.22
70        0.26        0.16        -0.1        0.46
71        0.19        0.32        -0.51        0.51
72        0.3        0.2        0.1        0.77
73        0.09        0.22        -0.27        0.43
74        0.0        0.12        -0.22        0.15
75        0.11        0.07        0.03        0.23
76        0.18        0.11        -0.01        0.33
77        -0.04        0.26        -0.58        0.37
78        0.05        0.17        -0.28        0.27
79        0.17        0.2        -0.1        0.58
80        0.09        0.25        -0.34        0.33
81        0.1        0.2        -0.18        0.38
82        -0.02        0.19        -0.27        0.39
83        0.13        0.25        -0.4        0.34
84        -0.09        0.53        -1.47        0.28
85        0.26        0.12        0.06        0.38
86        0.17        0.17        -0.21        0.35
87        0.12        0.14        -0.14        0.3
88        -0.11        0.34        -0.68        0.26
89        -0.22        0.29        -0.83        0.11
90        -0.08        0.31        -0.83        0.26
91        -0.06        0.22        -0.54        0.21
92        0.02        0.18        -0.23        0.3
93        0.32        0.27        -0.05        0.84
94        0.25        0.39        -0.25        0.94
95        0.25        0.13        0.08        0.4
96        0.39        0.22        0.05        0.81
97        0.35        0.23        -0.05        0.83
98        0.11        0.19        -0.34        0.33
99        0.3        0.22        -0.07        0.6
100        0.16        0.13        0.02        0.4
