Eval_GEN    Opp_GEN      Fit_Diff
100            0            0.5
100            1            0.47
100            2            0.45
100            3            0.33
100            4            0.53
100            5            0.44
100            6            0.38
100            7            0.52
100            8            0.52
100            9            0.29
100            10            0.52
100            11            0.56
100            12            0.66
100            13            0.48
100            14            0.38
100            15            0.45
100            16            0.44
100            17            0.36
100            18            0.42
100            19            0.47
100            20            0.49
100            21            0.41
100            22            0.38
100            23            0.4
100            24            0.4
100            25            0.32
100            26            0.41
100            27            0.47
100            28            0.46
100            29            0.48
100            30            0.45
100            31            0.49
100            32            0.41
100            33            0.35
100            34            0.48
100            35            0.34
100            36            0.48
100            37            0.42
100            38            0.27
100            39            0.38
100            40            0.43
100            41            0.43
100            42            0.34
100            43            0.41
100            44            0.33
100            45            0.45
100            46            0.54
100            47            0.34
100            48            0.32
100            49            0.46
100            50            0.34
100            51            0.41
100            52            0.36
100            53            0.31
100            54            0.27
100            55            0.34
100            56            0.38
100            57            0.49
100            58            0.43
100            59            0.48
100            60            0.4
100            61            0.4
100            62            0.57
100            63            0.37
100            64            0.38
100            65            0.41
100            66            0.17
100            67            0.3
100            68            0.4
100            69            0.46
100            70            0.52
100            71            0.39
100            72            0.4
100            73            0.44
100            74            0.32
100            75            0.34
100            76            0.42
100            77            0.33
100            78            0.52
100            79            0.47
100            80            0.34
100            81            0.31
100            82            0.3
100            83            0.34
100            84            0.4
100            85            0.35
100            86            0.42
100            87            0.34
100            88            0.41
100            89            0.48
100            90            0.26
100            91            0.47
100            92            0.57
100            93            0.47
100            94            0.34
100            95            0.55
100            96            0.44
100            97            0.52
100            98            0.36
100            99            0.47
