Eval_GEN    Opp_GEN      Fit_Diff
100            0            0.53
100            1            0.63
100            2            0.52
100            3            0.51
100            4            0.43
100            5            0.64
100            6            0.57
100            7            0.37
100            8            0.51
100            9            0.45
100            10            0.59
100            11            0.55
100            12            0.52
100            13            0.66
100            14            0.63
100            15            0.42
100            16            0.54
100            17            0.55
100            18            0.51
100            19            0.53
100            20            0.77
100            21            0.55
100            22            0.64
100            23            0.58
100            24            0.56
100            25            0.67
100            26            0.63
100            27            0.53
100            28            0.64
100            29            0.69
100            30            0.51
100            31            0.6
100            32            0.57
100            33            0.5
100            34            0.64
100            35            0.66
100            36            0.57
100            37            0.78
100            38            0.45
100            39            0.49
100            40            0.62
100            41            0.47
100            42            0.44
100            43            0.56
100            44            0.42
100            45            0.55
100            46            0.35
100            47            0.51
100            48            0.42
100            49            0.41
100            50            0.58
100            51            0.59
100            52            0.61
100            53            0.52
100            54            0.61
100            55            0.54
100            56            0.63
100            57            0.44
100            58            0.69
100            59            0.55
100            60            0.64
100            61            0.46
100            62            0.55
100            63            0.59
100            64            0.46
100            65            0.56
100            66            0.53
100            67            0.65
100            68            0.47
100            69            0.6
100            70            0.57
100            71            0.47
100            72            0.49
100            73            0.66
100            74            0.58
100            75            0.48
100            76            0.63
100            77            0.53
100            78            0.58
100            79            0.56
100            80            0.6
100            81            0.62
100            82            0.67
100            83            0.5
100            84            0.49
100            85            0.5
100            86            0.38
100            87            0.6
100            88            0.5
100            89            0.52
100            90            0.44
100            91            0.51
100            92            0.52
100            93            0.45
100            94            0.41
100            95            0.42
100            96            0.54
100            97            0.41
100            98            0.59
100            99            0.46
