Eval_GEN    Opp_GEN      Fit_Diff
100            0            1.77
100            1            0.77
100            2            0.47
100            3            0.42
100            4            0.76
100            5            0.21
100            6            -0.64
100            7            0.95
100            8            0.47
100            9            0.25
100            10            0.35
100            11            -0.28
100            12            0.04
100            13            0.36
100            14            0.24
100            15            0.05
100            16            0.47
100            17            0.01
100            18            0.07
100            19            0.2
100            20            -0.01
100            21            0.45
100            22            -0.11
100            23            0.62
100            24            0.4
100            25            0.13
100            26            0.01
100            27            0.07
100            28            0.51
100            29            0.6
100            30            -0.37
100            31            -1.61
100            32            0.02
100            33            0.1
100            34            0.13
100            35            -0.44
100            36            -0.24
100            37            -0.2
100            38            -0.48
100            39            -0.18
100            40            0.07
100            41            -0.24
100            42            -0.3
100            43            0.05
100            44            -0.47
100            45            -0.36
100            46            -0.69
100            47            -0.26
100            48            0.74
100            49            -0.01
100            50            -0.09
100            51            -0.44
100            52            -0.24
100            53            -0.74
100            54            -0.11
100            55            -0.67
100            56            -0.22
100            57            -0.02
100            58            -0.09
100            59            -0.16
100            60            0.35
100            61            -0.74
100            62            -0.31
100            63            0.2
100            64            -0.08
100            65            -0.3
100            66            0.79
100            67            0.1
100            68            0.35
100            69            -0.06
100            70            -1.17
100            71            0.03
100            72            -0.24
100            73            0.33
100            74            0.21
100            75            -0.08
100            76            0.32
100            77            0.56
100            78            -0.42
100            79            -0.06
100            80            -0.01
100            81            -0.51
100            82            0.38
100            83            -0.76
100            84            0.34
100            85            0.46
100            86            -0.48
100            87            -0.22
100            88            -0.09
100            89            -0.32
100            90            -0.72
100            91            -0.16
100            92            0.3
100            93            -0.34
100            94            0.44
100            95            -0.74
100            96            0.7
100            97            -0.12
100            98            -0.43
100            99            0.02
