Eval_GEN    Opp_GEN      Fit_Diff
100            0            1.63
100            1            2.04
100            2            1.82
100            3            0.71
100            4            0.87
100            5            0.42
100            6            0.43
100            7            0.82
100            8            0.62
100            9            0.41
100            10            0.08
100            11            0.38
100            12            -0.15
100            13            0.95
100            14            0.61
100            15            0.53
100            16            0.07
100            17            0.8
100            18            0.29
100            19            0.33
100            20            0.61
100            21            -0.05
100            22            -0.03
100            23            0.04
100            24            0.92
100            25            0.25
100            26            0.33
100            27            0.13
100            28            0.16
100            29            -0.12
100            30            0.09
100            31            0.02
100            32            0.21
100            33            0.74
100            34            0.08
100            35            -0.4
100            36            -0.29
100            37            0.04
100            38            -0.48
100            39            -0.16
100            40            -0.22
100            41            0.24
100            42            -0.62
100            43            -0.79
100            44            -0.09
100            45            -0.33
100            46            0.06
100            47            -0.16
100            48            -0.06
100            49            -0.13
100            50            -0.46
100            51            0.03
100            52            0.22
100            53            0.13
100            54            -0.25
100            55            -0.15
100            56            -0.75
100            57            -0.21
100            58            0.7
100            59            -0.53
100            60            -0.48
100            61            -0.28
100            62            0.09
100            63            -0.2
100            64            -0.15
100            65            0.15
100            66            -0.16
100            67            -0.31
100            68            -0.47
100            69            0.07
100            70            -0.13
100            71            -0.14
100            72            -0.24
100            73            -0.6
100            74            0.08
100            75            0.12
100            76            0.22
100            77            0.27
100            78            0.01
100            79            -0.14
100            80            -0.61
100            81            -0.18
100            82            0.46
100            83            -0.6
100            84            0.28
100            85            0.47
100            86            0.03
100            87            -0.13
100            88            0.14
100            89            0.24
100            90            -0.35
100            91            0.08
100            92            -0.03
100            93            -0.04
100            94            0.37
100            95            0.18
100            96            -0.14
100            97            -0.08
100            98            0.52
100            99            0.17
