Eval_GEN    Opp_GEN      Fit_Diff
100            0            1.11
100            1            0.62
100            2            0.79
100            3            0.27
100            4            0.07
100            5            0.07
100            6            0.05
100            7            0.22
100            8            0.04
100            9            -0.0
100            10            -0.03
100            11            -0.09
100            12            -0.01
100            13            0.15
100            14            0.05
100            15            -0.07
100            16            0.12
100            17            -0.05
100            18            -0.03
100            19            0.15
100            20            0.08
100            21            -0.0
100            22            -0.08
100            23            0.11
100            24            0.05
100            25            0.03
100            26            0.04
100            27            -0.08
100            28            0.07
100            29            -0.12
100            30            0.05
100            31            -0.06
100            32            0.06
100            33            -0.05
100            34            0.04
100            35            0.04
100            36            0.13
100            37            0.06
100            38            -0.1
100            39            0.02
100            40            0.01
100            41            -0.03
100            42            -0.04
100            43            -0.08
100            44            0.19
100            45            0.05
100            46            0.15
100            47            -0.05
100            48            -0.07
100            49            -0.15
100            50            -0.2
100            51            -0.03
100            52            0.08
100            53            -0.04
100            54            0.08
100            55            -0.07
100            56            -0.06
100            57            -0.01
100            58            0.02
100            59            -0.1
100            60            -0.18
100            61            0.01
100            62            -0.06
100            63            -0.03
100            64            0.03
100            65            0.19
100            66            0.0
100            67            0.16
100            68            0.01
100            69            0.15
100            70            0.03
100            71            -0.09
100            72            -0.08
100            73            -0.0
100            74            -0.01
100            75            0.15
100            76            0.01
100            77            0.16
100            78            -0.06
100            79            -0.11
100            80            -0.01
100            81            -0.0
100            82            -0.0
100            83            -0.1
100            84            0.19
100            85            0.25
100            86            -0.02
100            87            -0.11
100            88            0.05
100            89            0.07
100            90            0.25
100            91            -0.13
100            92            0.08
100            93            0.08
100            94            0.11
100            95            0.11
100            96            0.06
100            97            -0.06
100            98            -0.06
100            99            -0.01
